모델,MAE,RMSE,R2,Spearman
Ridge,0.5213617356739952,0.6842069273667396,0.30826389163943446,0.6323529411764707
LinearRegression,0.5453443412946919,0.7253038189244104,0.22266997920329057,0.5383201502315463
Dummy,0.7622874163285469,0.8740699355752972,-0.12890625000000022,-1.0
